circle_x,circle_y,circle_z,figureEight_x,figureEight_y,figureEight_z,loop_x,loop_y,loop_z,swoop_x,swoop_y,swoop_z,undulate_x,undulate_y,undulate_z,uShape_x,uShape_y,uShape_z
0,0.103951656,-0.497837876,0,0.27632286,-0.475410462,0,-2.49520507,1.847527734,0,0.0008,-0.341321363,0,-0.03125,4.452347495,0,0,-0.4815
0,-0.145935359,-0.495736939,0,0.003329142,-0.499996466,0,-2.476213802,2.218356994,0,-0.0461,-0.38346636,0,0.03125,4.5,0,0,-0.4815
0,-0.394364235,-0.468699425,0,-0.269792448,-0.476569965,0,-2.358503704,2.584855101,0,-0.093,-0.41848462,0,0.09375,4.452347495,0,-0.064516129,-0.481494606
0,-0.638852755,-0.416995481,0,-0.532551281,-0.406030775,0,-2.146767507,2.938791298,0,-0.1399,-0.446376144,0,0.15625,4.311221241,0,-0.129032258,-0.481413696
0,-0.876958069,-0.341141718,0,-0.774854759,-0.291088314,0,-1.849446463,3.272216942,0,-0.1868,-0.467140931,0,0.21875,4.082044639,0,-0.193548387,-0.481063084
0,-1.106301108,-0.241896041,0,-0.987395979,-0.136157535,0,-1.478393825,3.577644011,0,-0.2337,-0.480778982,0,0.28125,3.773624817,0,-0.258064516,-0.480119128
0,-1.324590352,-0.120250079,0,-1.162011209,0.052810655,0,-1.04840229,3.848213272,0,-0.2806,-0.487290297,0,0.34375,3.397814178,0,-0.322580645,-0.478128731
0,-1.529644727,0.02258072,0,-1.291993459,0.268557965,0,-0.576614265,4.077848322,0,-0.3275,-0.486674875,0,0.40625,2.969054912,0,-0.387096774,-0.474509337
0,-1.719415398,0.185169239,0,-1.372350096,0.502797518,0,-0.081838448,4.261392054,0,-0.3744,-0.478932717,0,0.46875,2.503823999,0,-0.451612903,-0.468548934
0,-1.892006238,0.365890948,0,-1.399994612,0.746532145,0,0.416200009,4.39472247,0,-0.4213,-0.464063822,0,0.53125,2.02,0,-0.516129032,-0.459406053
0,-2.045692778,0.562940134,0,-1.373865179,0.990399973,0,0.897645885,4.474845258,0,-0.4682,-0.442068191,0,0.59375,1.536176001,0,-0.580645161,-0.446109769
0,-2.178939431,0.774347947,0,-1.294965431,1.225034012,0,1.343305453,4.499961031,0,-0.5151,-0.412945824,0,0.65625,1.070945088,0,-0.64516129,-0.4275597
0,-2.290414842,0.99800207,0,-1.166325916,1.44142194,0,1.735411671,4.469505744,0,-0.562,-0.37669672,0,0.71875,0.642185822,0,-0.709677419,-0.402526006
0,-2.379005185,1.231667825,0,-0.992887692,1.631252275,0,2.058332502,4.384163357,0,-0.6089,-0.33332088,0,0.78125,0.266375183,0,-0.774193548,-0.369649393
0,-2.443825294,1.473010501,0,-0.781312541,1.787233612,0,2.299194112,4.245850476,0,-0.6558,-0.282818303,0,0.84375,-0.042044639,0,-0.838709677,-0.327441109
0,-2.484227509,1.719618683,0,-0.539727088,1.90337469,0,2.448394108,4.057673311,0,-0.7027,-0.22518899,0,0.90625,-0.271221241,0,-0.903225806,-0.274282943
0,-2.499808144,1.969028341,0,-0.277410658,1.975214516,0,2.499984357,3.823857913,0,-0.7496,-0.160432941,0,0.96875,-0.412347495,0,-0.967741935,-0.20842723
0,-2.490411522,2.218747459,0,-0.004438853,1.999993717,0,2.451908119,3.549655275,0,-0.7965,-0.088550155,0,1.03125,-0.46,0,-1.032258065,-0.127996848
0,-2.456131532,2.466280924,0,0,2,0,2.306082042,3.241223394,0,-0.8434,-0.009540633,0,1.09375,-0.412347495,0,-1.096774194,-0.030985219
0,-2.397310687,2.709155464,0,0.273058426,2.02400632,0,2.068319751,2.905488987,0,-0.8903,0.076595626,0,1.15625,-0.271221241,0,-1.161290323,0.084743696
0,-2.314536706,2.944944357,0,0.535628647,2.095103194,0,1.748100079,2.549991924,0,-0.9372,0.169858621,0,1.21875,-0.042044639,0,-1.225806452,0.221455387
0,-2.208636639,3.171291678,0,0.777625312,2.210559783,0,1.358189173,2.182715904,0,-0.9841,0.270248352,0,1.28125,0.266375183,0,-1.290322581,0.381544804
0,-2.080668606,3.38593584,0,0.989753302,2.365941388,0,0.914131551,1.811909153,0,-1.031,0.37776482,0,1.34375,0.642185822,0,-1.35483871,0.567536353
0,-1.931911219,3.58673219,0,1.163864758,2.555279782,0,0.433630388,1.445899193,0,-1.0779,0.492408024,0,1.40625,1.070945088,0,-1.419354839,0.782083897
